host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
100%,t,4.0,-2.297.122.528.201.030,-4.318.994.244.721.950,t,Apartment,Entire home/apt,5,2.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Outlet covers"",""Baby bath"",""High chair"",""Children’s books and toys"",""Babysitter recommendations"",Crib,""Pack ’n Play/travel crib"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""EV charger"",""Patio or balcony"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Step-free access"",""Wide entryway""}",,$348.00,,,$0.00,$132.00,4,$38.00,2,90,t,90,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,4,01.09
100%,f,3.0,-22.979.161.638.502.900,-4.322.685.597.814.170,f,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Essentials,Shampoo,Iron}",,$163.00,,"$20,060.00",$744.00,$176.00,1,$88.00,4,1125,t,11,82.0,9.0,8.0,9.0,8.0,9.0,8.0,f,strict_14_with_grace_period,t,2,0.13
100%,f,3.0,-22.981.368.342.518.200,-4.319.254.561.518.480,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Elevator,""Family/kid friendly"",Essentials,""Hot water"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Oven,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$132.00,,,$440.00,$147.00,1,$49.00,2,1125,t,28,92.0,9.0,9.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,t,2,0.34
100%,t,1.0,-22.943.152.749.092.200,-4.318.477.592.345.400,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$155.00,,,,,1,$0.00,3,1125,t,87,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,01.04
100%,f,2.0,-2.298.691.391.125.600,-4.321.047.085.787.540,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator}",,"$1,122.00",,,,,1,$0.00,1,1125,t,0,,,,,,,,f,flexible,f,2,
100%,f,2.0,-229.690.351.889.906,-4.318.197.203.745.550,t,Apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",,$387.00,"$3,677.00","$12,384.00",$387.00,$232.00,3,$290.00,3,1125,t,1,97.0,10.0,8.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.02
100%,f,1.0,-2.298.624.025.727.750,-4.322.267.605.387.770,t,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed""}",,$387.00,,,,$116.00,3,$0.00,5,30,t,39,95.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.47
0%,f,4.0,-2.294.194.527.318.180,-43.188.298.349.931.000,t,Bed and breakfast,Private room,3,,1.0,3.0,Real Bed,"{Internet,Wifi,Kitchen,Breakfast,""Pets live on this property"",Dog(s),""Family/kid friendly"",Washer,Dryer}",,$581.00,"$3,870.00","$13,545.00",,,2,$271.00,3,90,t,2,100.0,8.0,9.0,10.0,10.0,8.0,9.0,f,strict_14_with_grace_period,f,4,0.02
0%,f,4.0,-2.294.108.689.951.340,-4.318.754.097.357.570,t,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer}",,$503.00,"$3,483.00","$12,578.00",,,2,$271.00,3,90,t,1,100.0,8.0,10.0,10.0,10.0,8.0,10.0,f,flexible,f,4,0.01
0%,f,4.0,-2.294.078.553.714.830,-4.318.847.217.590.760,t,House,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Fire extinguisher""}",,$503.00,"$3,483.00","$14,513.00",,,2,$271.00,3,90,t,3,93.0,10.0,9.0,10.0,9.0,9.0,9.0,f,moderate,f,4,0.04
100%,f,3.0,-229.246.408.635.504,-43.191.556.863.741,t,Hostel,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",""First aid kit"",""Fire extinguisher"",Essentials}",,$271.00,,,"$1,935.00",$77.00,2,$0.00,2,21,t,20,99.0,10.0,10.0,10.0,9.0,9.0,9.0,f,moderate,f,3,0.37
100%,f,3.0,-22.925.010.251.668.800,-4.319.106.890.468.630,t,Hostel,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Breakfast,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials}",,$968.00,,,"$1,935.00",,2,$0.00,2,30,t,0,,,,,,,,f,moderate,f,3,
100%,t,6.0,-2.298.579.965.332.630,-4.320.196.471.813.360,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,""Buzzer/wireless intercom"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}",,$228.00,"$2,322.00","$7,740.00",$0.00,$116.00,2,$39.00,4,90,t,135,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,6,1.67
83%,f,1.0,-2.298.211.845.185.000,-4.319.839.655.849.060,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets""}",,$155.00,,"$5,805.00",$774.00,$194.00,1,$77.00,3,30,t,10,96.0,9.0,9.0,9.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.17
0%,f,2.0,-2.298.657.415.487.850,-4.322.691.111.179.500,f,Apartment,Private room,2,,1.0,,Real Bed,{},,$581.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,flexible,f,1,
100%,t,5.0,-2.296.870.619.690.720,-43.182.173.360.897.500,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Paid parking off premises"",Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed""}",,$124.00,,,$600.00,$80.00,1,$30.00,1,15,t,42,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,5,0.51
100%,t,1.0,-2.296.521.432.174.300,-4.317.614.346.349.840,t,Apartment,Entire home/apt,8,1.5,2.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",Beachfront}",,$151.00,"$1,900.00","$6,750.00",$500.00,$160.00,4,$20.00,3,120,t,69,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.85
0%,f,4.0,-2.294.138.590.367.110,-4.318.730.402.266.770,t,House,Private room,8,2.0,1.0,8.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",""Fire extinguisher"",Shampoo}",,"$1,355.00","$9,482.00","$34,830.00",,$116.00,6,$271.00,3,90,t,6,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,f,4,0.07
80%,f,7.0,-2.294.156.584.339.960,-4.318.577.921.079.980,t,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Washer,Essentials,""Lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",,$70.00,"$1,000.00","$1,900.00",$0.00,$0.00,1,$68.00,3,1000,t,13,97.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,t,7,0.19
,f,1.0,-2.300.028.267.197.160,-43.509.991.896.912.000,t,House,Shared room,1,,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer}",,$310.00,"$1,935.00","$5,805.00",,$97.00,2,$116.00,1,1125,t,0,,,,,,,,f,moderate,f,1,
100%,t,4.0,-2.297.704.871.921.610,-43.188.644.210.944,t,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$252.00,,,,$232.00,4,$97.00,3,31,t,172,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,4,02.09
100%,f,2.0,-2.298.309.575.598.700,-4.330.133.949.336.030,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$201.00,,,,$50.00,2,$0.00,2,120,t,8,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,0.11
100%,t,4.0,-229.771.726.013.364,-4.318.935.067.591.680,t,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$228.00,,"$5,445.00",,$232.00,4,$97.00,3,1125,t,167,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,4,02.03
100%,f,3.0,-22.924.733.018.859.200,-4.319.144.220.741.260,t,Hostel,Private room,2,1.5,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",""Suitable for events"",""First aid kit"",""Fire extinguisher"",Essentials}",,$271.00,,,"$1,935.00",$77.00,2,$39.00,2,30,t,13,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,3,0.24
100%,f,5.0,-2.292.269.905.848.430,-431.833.651.647.412,t,Apartment,Entire home/apt,16,5.0,6.0,16.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",Washer,Essentials}",,"$3,301.00",,,,$660.00,4,$0.00,1,30,t,11,78.0,8.0,8.0,9.0,9.0,8.0,8.0,f,strict_14_with_grace_period,f,5,0.14
,f,1.0,-22.959.867.595.274.700,-4.320.826.855.240.600,t,Apartment,Entire home/apt,5,1.5,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$650.00,,,"$1,000.00",$150.00,4,$0.00,2,7,t,1,89.0,10.0,8.0,8.0,8.0,10.0,8.0,f,strict_14_with_grace_period,f,1,0.02
,f,1.0,-2.295.577.257.284.220,-4.319.907.547.086.440,f,Apartment,Entire home/apt,3,1.0,1.0,2.0,Futon,"{Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Smoke detector"",Essentials,""Hot water"",""Host greets you""}",,$348.00,,"$3,000.00",$500.00,$150.00,2,$20.00,14,30,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
,f,1.0,-2.292.086.951.044.760,-4.318.861.633.994.250,t,Apartment,Entire home/apt,6,3.0,2.0,5.0,Real Bed,"{TV,Internet,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""First aid kit"",""Safety card"",Essentials,Hangers,Iron}",,"$1,250.00","$4,000.00","$10,000.00","$2,000.00",,1,$100.00,20,30,t,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.01
,f,1.0,-2.296.733.825.279.190,-4.349.179.654.833.000,t,Loft,Private room,2,1.0,1.0,1.0,Pull-out Sofa,"{""Cable TV"",Wifi,Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer}",,$201.00,,,,,1,$50.00,1,30,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
,f,1.0,-2.296.528.749.449.210,-4.323.700.501.085.340,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",Washer,Dryer,Essentials}",,$774.00,,"$21,285.00",,,1,$0.00,1,30,t,0,,,,,,,,f,flexible,f,1,
75%,f,2.0,-2.301.356.781.141.420,-4.331.437.445.684.330,t,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,Bathtub,""Window guards"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide entryway"",""Host greets you""}",,$151.00,,,$800.00,$100.00,1,$300.00,2,90,t,8,93.0,10.0,10.0,9.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.1
,f,1.0,-23.021.969.148.982.700,-4.351.959.449.724.420,t,House,Private room,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),""Family/kid friendly""}",,$201.00,"$1,400.00","$6,000.00",,$59.00,1,$118.00,2,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
,f,5.0,-22.978.762.563.749.100,-4.322.409.553.427.190,f,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Host greets you""}",,$89.00,,,$0.00,$80.00,1,$0.00,2,30,t,41,87.0,9.0,8.0,9.0,10.0,9.0,9.0,f,strict_14_with_grace_period,t,5,0.49
90%,t,2.0,-2.294.311.132.915.320,-4.318.365.506.854.620,t,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{Internet,Wifi,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",""Patio or balcony"",""Luggage dropoff allowed""}",,$77.00,,,$0.00,$75.00,1,$50.00,4,15,t,100,94.0,9.0,10.0,10.0,10.0,10.0,9.0,f,moderate,f,2,1.22
100%,t,2.0,-229.848.032.810.666,-4.319.580.586.783.260,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide entryway""}",,$89.00,$840.00,"$3,150.00",$350.00,$100.00,1,$50.00,3,90,t,31,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,0.43
96%,t,7.0,-2.292.854.412.444.800,-4.319.478.262.863.690,t,House,Private room,16,5.0,1.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Hot tub"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials}",,$174.00,"$1,232.00","$3,959.00",,,2,$44.00,1,30,t,63,95.0,9.0,8.0,10.0,10.0,9.0,9.0,f,moderate,f,7,0.84
96%,t,7.0,-22.928.731.709.565.000,-4.319.412.028.633.700,t,House,Private room,16,5.0,1.0,7.0,Real Bed,"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Hot tub"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials}",,$174.00,"$1,232.00","$3,959.00",,,2,$44.00,1,30,t,30,93.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,f,7,0.49
100%,t,4.0,-22.923.570.862.730.400,-43.172.119.690.364.800,t,Apartment,Private room,2,2.0,0.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",Beachfront}",,$120.00,,,$0.00,$0.00,1,$50.00,3,250,t,109,94.0,9.0,9.0,10.0,10.0,9.0,9.0,f,moderate,t,4,1.33
100%,t,5.0,-22.986.835.921.954.600,-4.319.196.863.179.640,t,Apartment,Entire home/apt,3,2.0,1.0,2.0,Real Bed,"{""Cable TV"",Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Host greets you""}",,$232.00,,,$800.00,$120.00,2,$60.00,3,1125,t,14,91.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,5,0.17
,f,1.0,-22.968.731.674.254.100,-4.318.238.445.500.860,f,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",""Laptop friendly workspace""}",,$228.00,"$4,257.00","$15,480.00",$581.00,$155.00,1,$0.00,2,30,t,4,85.0,9.0,10.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.11
,f,2.0,-22.903.808.865.297.800,-4.322.037.376.141.850,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Shampoo}",,$232.00,,,,$77.00,1,$155.00,1,1125,t,1,86.0,8.0,10.0,10.0,10.0,6.0,8.0,f,strict_14_with_grace_period,f,2,0.01
50%,f,2.0,-229.267.712.070.172,-4.317.891.478.486.260,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Self check-in"",""Building staff"",""Hot water"",""Bed linens""}",,$124.00,"$1,750.00","$3,000.00",$330.00,$150.00,2,$150.00,5,30,t,9,80.0,8.0,8.0,10.0,9.0,9.0,8.0,f,strict_14_with_grace_period,t,2,0.15
,f,8.0,-229.868.037.090.611,-4.319.075.431.854.430,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Family/kid friendly"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}",,$101.00,,,,$100.00,2,$50.00,5,1125,t,13,97.0,10.0,10.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,8,0.38
80%,f,2.0,-22.944.907.761.773.100,-4.318.311.802.407.710,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Beachfront}",,$209.00,,,$0.00,$150.00,2,$90.00,4,30,t,54,90.0,10.0,10.0,10.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,2,0.66
